slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
0x-cert,0xCert,,"[""[Website](https://github.com/0xcert/framework/)""]",Framework,JavaScript,"[""0xcert"",""Blockchain"",""dApp"",""Decentralized applications""]","Provides a comprehensive suite of tools for building decentralized applications that manage digital assets, specifically non-fungible tokens and fungible tokens, across multiple blockchains",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
abitype,wevm,,"[""[Docs](https://abitype.dev/)"",""[GitHub](https://github.com/wevm/abitype)""]",Library,TypeScript,"[""Ethereum"",""TypeScript"",""ABI types"",""Type inference""]","Strict TypeScript types and utilities for Ethereum ABIs, enabling type-safe contract interactions and ABI inference.",Public,,$0,FALSE,FALSE,,,,,
alchemy-sdk-enterprise,Alchemy,SDK,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs)""]",SDK,TBD,"[""Web3 development"",""Blockchain developer tools"",""Ethereum development"",""dApp development""]","It is a powerful JavaScript/TypeScript library that serves as the core of Alchemy's comprehensive web3 development platform, allowing developers to easily connect their decentralized applications to various blockchains and leverage enhanced developer tools and infrastructure",Enterprise,,Custom,FALSE,FALSE,,TBD,TBD,TBD,TBD
alchemy-sdk-free,Alchemy,SDK,"[""[Docs](https://www.alchemy.com/docs)""]",SDK,TBD,"[""Web3 development"",""Blockchain developer tools"",""Ethereum development"",""dApp development""]","It is a powerful JavaScript/TypeScript library that serves as the core of Alchemy's comprehensive web3 development platform, allowing developers to easily connect their decentralized applications to various blockchains and leverage enhanced developer tools and infrastructure",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
alchemy-sdk-pay-as-you-go,Alchemy,SDK,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs)""]",SDK,TBD,"[""Web3 development"",""Blockchain developer tools"",""Ethereum development"",""dApp development""]","It is a powerful JavaScript/TypeScript library that serves as the core of Alchemy's comprehensive web3 development platform, allowing developers to easily connect their decentralized applications to various blockchains and leverage enhanced developer tools and infrastructure",Pay-as-you-go,,$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,FALSE,FALSE,,TBD,TBD,TBD,TBD
algokit-avm-debugger,Algorand,AlgoKit AVM Debugger,"[""[GitHub](https://github.com/algorandfoundation/algokit-avm-debugger)"",""[npm](https://www.npmjs.com/package/@algorandfoundation/algokit-avm-debugger)""]",Debugger,TEAL,"[""AVM"",""Debug Adapter Protocol"",""Execution traces"",""Smart contracts""]","Standalone debug adapter that replays Algorand simulate traces for step-through AVM contract debugging and supports CLI, server, and programmatic use.",Public,,$0,FALSE,FALSE,"[""@vscode/debugadapter@^1.64.0"",""algosdk@^3.0.0"",""await-notify@^1.0.1""]",,,Algorand Foundation,
algokit-avm-vscode-debugger,Algorand,AlgoKit AVM VS Code Debugger,"[""[GitHub](https://github.com/algorandfoundation/algokit-avm-vscode-debugger)""]",Debugger,TEAL,"[""AVM"",""Debugger"",""Smart Contracts""]","VS Code debugger for stepping through Algorand AVM smart contract execution with breakpoints, source mapping, and state inspection.",Public,,$0,FALSE,FALSE,"[""@algorandfoundation/algokit-avm-debugger@^1.0.2"",""algosdk@^3.0.0"",""lodash@^4.17.21""]",,,,
algokit-cli,Algorand,AlgoKit CLI,"[""[GitHub](https://github.com/algorandfoundation/algokit-cli)""]",CLI,"Python, TypeScript","[""CLI"",""Development"",""LocalNet""]","Official command-line toolkit for Algorand development, project scaffolding, builds, deployments, and LocalNet management.",Public,,$0,FALSE,FALSE,"[""algokit-utils@<5.0.0,>=4.0.1"",""click@==8.1.8"",""copier@<10.0.0,>=9.11.3"",""cryptography@<45.0.0,>=44.0.2"",""httpx@<=0.28.1,>=0.23.1"",""jsondiff@<3.0.0,>=2.0.0"",""keyring@==25.6.0"",""mslex@<2.0.0,>=1.1.0"",""multiformats@==0.3.1"",""multiformats_config@==0.3.1"",""prompt_toolkit@==3.0.51"",""pyclip@<0.8.0,>=0.7.0"",""pyjwt@<3.0.0,>=2.10.1"",""python-dotenv@<2.0.0,>=1.0.0"",""pywin32@<312,>=311; sys_platform == \""win32\"""",""questionary@<2.0.0,>=1.10.0"",""requests@<3.0.0,>=2.31.0"",""shellingham@<2.0.0,>=1.5.4"",""textual@<4.0.0,>=3.0.1"",""tomli@<3.0.0,>=2.0.1; python_version < \""3.11\""""]",,,,
algokit-client-generator-py,Algorand,AlgoKit Python Client Generator,"[""[GitHub](https://github.com/algorandfoundation/algokit-client-generator-py)""]",Code Generator,Python,"[""ARC-32"",""ARC-56"",""Client Generation""]",Generates type-safe Python clients from ARC-32 or ARC-56 Algorand application specifications.,Public,,$0,FALSE,FALSE,,,,,
algokit-client-generator-ts,Algorand,AlgoKit TypeScript Client Generator,"[""[GitHub](https://github.com/algorandfoundation/algokit-client-generator-ts)""]",Code Generator,TypeScript,"[""ARC-32"",""ARC-56"",""Client Generation""]",Generates type-safe TypeScript clients from ARC-32 or ARC-56 Algorand application specifications.,Public,,$0,FALSE,FALSE,,,,,
algokit-subscriber-py,Algorand,AlgoKit Subscriber Python,"[""[GitHub](https://github.com/algorandfoundation/algokit-subscriber-py)""]",Library,Python,"[""Algorand"",""Transaction subscriptions"",""Indexing"",""ARC-28 events""]","Flexible Algorand transaction subscription and indexing library for Python services, with filtering, watermarking, and ARC-28 event support.",Public,,$0,FALSE,FALSE,"[""py-algorand-sdk@<3.0.0,>=2.9.1""]",,,,
algokit-subscriber-ts,Algorand,AlgoKit Subscriber TypeScript,"[""[GitHub](https://github.com/algorandfoundation/algokit-subscriber-ts)""]",Library,TypeScript,"[""Algorand"",""Transaction subscriptions"",""Indexing"",""ARC-28 events""]","Flexible Algorand transaction subscription and indexing library for Node.js or JavaScript services, with filtering, watermarking, and ARC-28 event support.",Public,,$0,FALSE,FALSE,"[""@algorandfoundation/algokit-utils@^9.0.0"",""algosdk@^3.7.0"",""js-sha512@^0.9.0""]",,,,
algokit-utils-py,Algorand,AlgoKit Python Utilities,"[""[GitHub](https://github.com/algorandfoundation/algokit-utils-py)"",""[Docs](https://algorandfoundation.github.io/algokit-utils-py/)""]",Library,Python,"[""Utilities"",""Smart Contracts"",""Transactions""]","Python utility library providing higher-level helpers for building, testing, deploying, and interacting with Algorand applications.",Public,,$0,FALSE,FALSE,"[""py-algorand-sdk@^2.11.0"",""httpx@>=0.23.1,<=0.28.1"",""typing-extensions@>=4.6.0""]",,,,
algokit-utils-ts,Algorand,AlgoKit TypeScript Utilities,"[""[GitHub](https://github.com/algorandfoundation/algokit-utils-ts)"",""[Docs](https://github.com/algorandfoundation/algokit-utils-ts/blob/main/docs/README.md)""]",Library,TypeScript,"[""Utilities"",""Smart Contracts"",""Transactions""]","TypeScript utility library providing higher-level helpers for building, testing, deploying, and interacting with Algorand applications.",Public,,$0,FALSE,FALSE,"[""buffer@^6.0.3"",""algosdk@^3.5.2""]",,,,
algorand-falcon-py,Algorand,Algorand Falcon Python,"[""[GitHub](https://github.com/algorandfoundation/falcon-py)""]",Library,Python,"[""Algorand"", ""Cryptography""]","Python library for Algorand deterministic Falcon-1024 key generation, signatures, and signature checks.",Public,,$0,FALSE,FALSE,,,,,
algorand-falcon-ts,Algorand,Falcon-1024 TypeScript,"[""[GitHub](https://github.com/algorandfoundation/falcon-ts-wasm)""]",Library,TypeScript,"[""Algorand"", ""Cryptography""]","TypeScript and WebAssembly library for Algorand deterministic Falcon-1024 key generation, signatures, and signature checks.",Public,,$0,FALSE,FALSE,,,,,
algorand-go-sdk,Algorand,Go SDK,"[""[Docs](https://pkg.go.dev/github.com/algorand/go-algorand-sdk/v2)"",""[GitHub](https://github.com/algorand/go-algorand-sdk)""]",SDK,Go,"[""Algorand"",""Transactions"",""Smart Contracts""]","Official Go SDK for constructing and signing transactions and interacting with Algorand network APIs.",Public,,$0,FALSE,FALSE,"[""github.com/algorand/avm-abi@v0.2.0"",""github.com/algorand/go-codec/codec@v1.1.10"",""github.com/cucumber/godog@v0.14.1"",""github.com/google/go-querystring@v1.1.0"",""github.com/stretchr/testify@v1.9.0"",""golang.org/x/crypto@v0.45.0""]",,,,
